TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-06-26 15:37:12,1782488232477,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/e-paper,GET,_rsc=2tDfWWFBAfd7VZ9Z,200,5xgr2-1782488232477-6e1a1e1053dd,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/e-paper.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,294,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:37:12,1782488232476,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/e-paper,GET,_rsc=7h4NYy5eoyMcNlUN,200,sn4r5-1782488232476-418a44472f56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/_head.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,295,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:37:12,1782488232027,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,_rsc=yIp22O3xgPPxC28X,200,5xgr2-1782488232027-a4c37cb4ba4d,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/_index.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,303,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:37:12,1782488232016,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,_rsc=7h4NYy5eoyMcNlUN,200,sn4r5-1782488232016-c80b1ed9fa33,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/_head.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,363,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:37:12,1782488232016,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,_rsc=8nTjltbQWvg6NcbE,200,b658m-1782488232016-4095c5489c60,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/__PAGE__.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,418,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:37:12,1782488232014,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/e-paper,GET,_rsc=5CB68i4pnAekjehf,200,sn4r5-1782488232014-4c0b2bf74c96,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/_tree.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,406,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:37:11,1782488231293,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,,200,md7d2-1782488231293-891a50d92f78,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,35,sfo1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863257,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=7h4NYy5eoyMcNlUN,304,2dqlv-1782487863257-f874da90dfba,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/_head.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,32,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863240,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=2tDfWWFBAfd7VZ9Z,304,rxmmt-1782487863240-6983c5bfe4b4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/e-paper.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,7,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863239,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=3M4rap3rp5n1mWgR,304,b666j-1782487863239-d30d2d0fac32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/e-paper/__PAGE__.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,5,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863136,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=5CB68i4pnAekjehf,304,2dqlv-1782487863136-9049c3f178db,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/_tree.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,34,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863134,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/,GET,_rsc=8nTjltbQWvg6NcbE,304,rxmmt-1782487863134-31b87563e53e,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/__PAGE__.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,11,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863134,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/,GET,_rsc=yIp22O3xgPPxC28X,304,b666j-1782487863134-e952987d7949,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/_index.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,7,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:03,1782487863130,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/,GET,_rsc=7h4NYy5eoyMcNlUN,304,x8zm5-1782487863130-4d0b793a57b1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/_head.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,5,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:31:02,1782487862532,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/,GET,,304,x8zm5-1782487862532-52f08a475bb8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,22,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:28:06,1782487686645,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,OPTIONS,,204,t8w9l-1782487686645-a0138af135e7,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,8,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:28:05,1782487685885,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,_rsc=8nTjltbQWvg6NcbE,304,l9zm6-1782487685885-de2af6c4c31c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/__PAGE__.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,12,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:28:05,1782487685885,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,_rsc=yIp22O3xgPPxC28X,304,2jgtv-1782487685885-a364be9457e3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/_index.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,14,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:28:05,1782487685884,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,_rsc=7h4NYy5eoyMcNlUN,304,tnjdn-1782487685884-7473ac84bdac,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/index.segments/_head.segment,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,13,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:28:05,1782487685319,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app/,GET,,304,jmvfc-1782487685319-e6d2f9bcec5e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,13,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:26:47,1782487607942,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=3M4rap3rp5n1mWgR,304,zv7fk-1782487607942-a94b9055a2e3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/e-paper/__PAGE__.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,4,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:26:47,1782487607941,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=2tDfWWFBAfd7VZ9Z,304,gjcvq-1782487607941-138921e38e08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/e-paper.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,5,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
2026-06-26 15:26:47,1782487607940,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app/e-paper,GET,_rsc=7h4NYy5eoyMcNlUN,304,rd6pw-1782487607940-bc244efb222e,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,preview,v0/banglarvoice33-1162-5ba73d0e,HIT,static,/e-paper.segments/_head.segment,news-platform-research-report-git-v0-banglar-8d22ce-ecosystems2.vercel.app,news-platform-research-report-84d0w17hf-ecosystems2.vercel.app,dpl_FCiTD6veR9SJ8NULLymVSNKmtroe,6,bom1,,,,prj_PqWbBCrnXEq4KHOyAXDRDoRJwqy5,,,,,,,
